Code,Country,Year,Population
ALB,Albania,2023,2411658
AND,Andorra,2023,80856
AUT,Austria,2023,9131761
BEL,Belgium,2023,11779946
BGR,Bulgaria,2023,6446596
BIH,Bosnia and Herzegovina,2023,3185073
BLR,Belarus,2023,9178298
CHE,Switzerland,2023,8888822
CZE,Czechia,2023,10864042
DEU,Germany,2023,83287273
DNK,Denmark,2023,5946952
ESP,Spain,2023,48352528
EST,Estonia,2023,1370286
FIN,Finland,2023,5583911
FRA,France,2023,68372286
FRO,Faroe Islands,2023,54398
GBR,United Kingdom,2023,68526000
GRC,Greece,2023,10407351
HRV,Croatia,2023,3859686
HUN,Hungary,2023,9592186
IRL,Ireland,2023,5311538
ISL,Iceland,2023,385663
ITA,Italy,2023,58984216
XKX,Kosovo,2023,1682668
LIE,Liechtenstein,2023,39846
LTU,Lithuania,2023,2871585
LUX,Luxembourg,2023,666430
LVA,Latvia,2023,1883710
MDA,Moldova,2023,2457783
MKD,North Macedonia,2023,1827816
MLT,Malta,2023,552747
MNE,Montenegro,2023,623529
NLD,Netherlands,2023,17877117
NOR,Norway,2023,5519601
POL,Poland,2023,36687353
PRT,Portugal,2023,10578174
ROU,Romania,2023,19061062
SRB,Serbia,2023,6623183
SVK,Slovak Republic,2023,5426740
SVN,Slovenia,2023,2120461
SWE,Sweden,2023,10536632
UKR,Ukraine,2023,37732836
