Entity,Code,Year,CO₂ emissions per capita
France,FRA,1802,0.076622
France,FRA,1804,0.07393558
France,FRA,1810,0.070469946
France,FRA,1811,0.067903295
France,FRA,1812,0.07308623
France,FRA,1813,0.06727743
France,FRA,1814,0.06846539
France,FRA,1815,0.076333165
France,FRA,1816,0.08116601
France,FRA,1817,0.086080305
France,FRA,1818,0.07678174
France,FRA,1819,0.082100935
France,FRA,1820,0.09271228
France,FRA,1821,0.095714025
France,FRA,1822,0.100134835
France,FRA,1823,0.09950061
France,FRA,1824,0.10972901
France,FRA,1825,0.122663274
France,FRA,1826,0.12594925
France,FRA,1827,0.18088658
France,FRA,1828,0.18988127
France,FRA,1829,0.18364692
France,FRA,1830,0.19692379
France,FRA,1831,0.1809741
France,FRA,1832,0.19870651
France,FRA,1833,0.21459202
France,FRA,1834,0.26293486
France,FRA,1835,0.2715916
France,FRA,1836,0.31054175
France,FRA,1837,0.3298498
France,FRA,1838,0.3432477
France,FRA,1839,0.33313882
France,FRA,1840,0.3381736
France,FRA,1841,0.39443934
France,FRA,1842,0.41288608
France,FRA,1843,0.411831
France,FRA,1844,0.43019587
France,FRA,1845,0.50076497
France,FRA,1846,0.5180938
France,FRA,1847,0.5803729
France,FRA,1848,0.4628796
France,FRA,1849,0.48037285
France,FRA,1850,0.5401483
France,FRA,1851,0.5501596
France,FRA,1852,0.59067684
France,FRA,1853,0.6923327
France,FRA,1854,0.79631627
France,FRA,1855,0.8994212
France,FRA,1856,0.9397137
France,FRA,1857,0.9551182
France,FRA,1858,0.9344241
France,FRA,1859,0.9428659
France,FRA,1860,1.0249465
France,FRA,1861,1.1057359
France,FRA,1862,1.1638623
France,FRA,1863,1.1783826
France,FRA,1864,1.2454354
France,FRA,1865,1.3076444
France,FRA,1866,1.4167037
France,FRA,1867,1.431795
France,FRA,1868,1.4608666
France,FRA,1869,1.4943383
France,FRA,1870,1.3234235
France,FRA,1871,1.3137927
France,FRA,1872,1.5900015
France,FRA,1873,1.71633
France,FRA,1874,1.6306893
France,FRA,1875,1.6966279
France,FRA,1876,1.6970373
France,FRA,1877,1.6577271
France,FRA,1878,1.6892104
France,FRA,1879,1.7456038
France,FRA,1880,1.9661164
France,FRA,1881,2.009875
France,FRA,1882,2.1170962
France,FRA,1883,2.215497
France,FRA,1884,2.1234424
France,FRA,1885,2.0371127
France,FRA,1886,2.016362
France,FRA,1887,2.119315
France,FRA,1888,2.2001383
France,FRA,1889,2.2501442
France,FRA,1890,2.474375
France,FRA,1891,2.474684
France,FRA,1892,2.4748344
France,FRA,1893,2.4268293
France,FRA,1894,2.564161
France,FRA,1895,2.583201
France,FRA,1896,2.6682394
France,FRA,1897,2.7900133
France,FRA,1898,2.8815835
France,FRA,1899,3.0096476
France,FRA,1900,3.2303777
France,FRA,1901,3.1198537
France,FRA,1902,2.9330056
France,FRA,1903,3.2201838
France,FRA,1904,3.1330132
France,FRA,1905,3.1646204
France,FRA,1906,3.3874516
France,FRA,1907,3.6069126
France,FRA,1908,3.630096
France,FRA,1909,3.7144277
France,FRA,1910,3.7331283
France,FRA,1911,3.900818
France,FRA,1912,3.9597802
France,FRA,1913,4.297789
France,FRA,1914,2.9899921
France,FRA,1915,2.6233315
France,FRA,1916,2.8037076
France,FRA,1917,3.1264672
France,FRA,1918,2.8037887
France,FRA,1919,3.0121102
France,FRA,1920,3.9392464
France,FRA,1921,3.5732992
France,FRA,1922,4.210048
France,FRA,1923,4.722255
France,FRA,1924,5.263511
France,FRA,1925,5.411551
France,FRA,1926,5.3742137
France,FRA,1927,5.3222127
France,FRA,1928,5.25259
France,FRA,1929,5.7868476
France,FRA,1930,5.850423
France,FRA,1931,5.345493
France,FRA,1932,4.712864
France,FRA,1933,4.907161
France,FRA,1934,4.962797
France,FRA,1935,4.8225775
France,FRA,1936,4.8966165
France,FRA,1937,5.389734
France,FRA,1938,5.0033183
France,FRA,1939,4.8274617
France,FRA,1940,3.4146125
France,FRA,1941,2.9683535
France,FRA,1942,3.0239975
France,FRA,1943,3.0806637
France,FRA,1944,1.9602842
France,FRA,1945,2.616853
France,FRA,1946,4.0204406
France,FRA,1947,4.4513903
France,FRA,1948,4.7462525
France,FRA,1949,5.5062785
France,FRA,1950,4.833711
France,FRA,1951,5.4081116
France,FRA,1952,5.311264
France,FRA,1953,4.968364
France,FRA,1954,5.1881204
France,FRA,1955,5.421132
France,FRA,1956,6.0286164
France,FRA,1957,6.1701612
France,FRA,1958,5.8585806
France,FRA,1959,5.7073174
France,FRA,1960,6.4270477
France,FRA,1961,6.784725
France,FRA,1962,7.0859485
France,FRA,1963,7.1191435
France,FRA,1964,7.685866
France,FRA,1965,7.5009995
France,FRA,1966,7.7836466
France,FRA,1967,8.215699
France,FRA,1968,8.431216
France,FRA,1969,8.868538
France,FRA,1970,9.130455
France,FRA,1971,9.690313
France,FRA,1972,10.002982
France,FRA,1973,10.403053
France,FRA,1974,9.9940815
France,FRA,1975,9.214351
France,FRA,1976,9.958093
France,FRA,1977,9.610839
France,FRA,1978,9.969789
France,FRA,1979,9.989639
France,FRA,1980,9.538364
France,FRA,1981,8.526336
France,FRA,1982,8.123415
France,FRA,1983,7.7617745
France,FRA,1984,7.515064
France,FRA,1985,7.3521323
France,FRA,1986,7.0466685
France,FRA,1987,6.9606786
France,FRA,1988,6.8770137
France,FRA,1989,7.0824494
France,FRA,1990,6.9293327
France,FRA,1991,7.3180947
France,FRA,1992,7.096411
France,FRA,1993,6.728049
France,FRA,1994,6.5845513
France,FRA,1995,6.6496673
France,FRA,1996,6.909002
France,FRA,1997,6.76169
France,FRA,1998,7.049427
France,FRA,1999,6.9912124
France,FRA,2000,6.849684
France,FRA,2001,6.8707247
France,FRA,2002,6.746978
France,FRA,2003,6.799168
France,FRA,2004,6.7686367
France,FRA,2005,6.756068
France,FRA,2006,6.5539103
France,FRA,2007,6.3502436
France,FRA,2008,6.2088747
France,FRA,2009,5.8853593
France,FRA,2010,5.945996
France,FRA,2011,5.572035
France,FRA,2012,5.59021
France,FRA,2013,5.591334
France,FRA,2014,5.067184
France,FRA,2015,5.116293
France,FRA,2016,5.1545954
France,FRA,2017,5.182955
France,FRA,2018,4.93138
France,FRA,2019,4.812466
France,FRA,2020,4.271517
France,FRA,2021,4.649748
France,FRA,2022,4.4555726
France,FRA,2023,4.067842
France,FRA,2024,3.969368
Germany,DEU,1800,0.044171557
Germany,DEU,1801,0.029240523
Germany,DEU,1802,0.029754901
Germany,DEU,1803,0.02830634
Germany,DEU,1804,0.05245813
Germany,DEU,1805,0.053302526
Germany,DEU,1806,0.047273606
Germany,DEU,1807,0.13335954
Germany,DEU,1808,0.043796904
Germany,DEU,1809,0.044674568
Germany,DEU,1810,0.046192635
Germany,DEU,1811,0.04306568
Germany,DEU,1812,0.041702244
Germany,DEU,1813,0.04004199
Germany,DEU,1814,0.039072905
Germany,DEU,1815,0.044824384
Germany,DEU,1816,0.1021735
Germany,DEU,1817,0.14253065
Germany,DEU,1818,0.14646468
Germany,DEU,1819,0.13376212
Germany,DEU,1820,0.1361196
Germany,DEU,1821,0.1402481
Germany,DEU,1822,0.14235331
Germany,DEU,1823,0.15628752
Germany,DEU,1824,0.12372251
Germany,DEU,1825,0.16412507
Germany,DEU,1826,0.15657145
Germany,DEU,1827,0.16771843
Germany,DEU,1828,0.16573869
Germany,DEU,1829,0.13103831
Germany,DEU,1830,0.17101406
Germany,DEU,1831,0.16203187
Germany,DEU,1832,0.12038958
Germany,DEU,1833,0.1513005
Germany,DEU,1834,0.15085933
Germany,DEU,1835,0.16690293
Germany,DEU,1836,0.17388494
Germany,DEU,1837,0.19722018
Germany,DEU,1838,0.21752897
Germany,DEU,1839,0.22798942
Germany,DEU,1840,0.29514763
Germany,DEU,1841,0.3044165
Germany,DEU,1842,0.34398574
Germany,DEU,1843,0.32294974
Germany,DEU,1844,0.33847037
Germany,DEU,1845,0.38910353
Germany,DEU,1846,0.40357685
Germany,DEU,1847,0.42012787
Germany,DEU,1848,0.38629287
Germany,DEU,1849,0.40705645
Germany,DEU,1850,0.4490097
Germany,DEU,1851,0.49647328
Germany,DEU,1852,0.5601497
Germany,DEU,1853,0.60221237
Germany,DEU,1854,0.70180196
Germany,DEU,1855,0.8183968
Germany,DEU,1856,0.87816346
Germany,DEU,1857,0.92877984
Germany,DEU,1858,0.9969994
Germany,DEU,1859,0.9394867
Germany,DEU,1860,1.003471
Germany,DEU,1861,1.1302289
Germany,DEU,1862,1.2347139
Germany,DEU,1863,1.3269968
Germany,DEU,1864,1.5084821
Germany,DEU,1865,1.6752176
Germany,DEU,1866,1.6456321
Germany,DEU,1867,1.7929425
Germany,DEU,1868,1.9109488
Germany,DEU,1869,1.9752913
Germany,DEU,1870,1.9321979
Germany,DEU,1871,2.1301944
Germany,DEU,1872,2.2750201
Germany,DEU,1873,2.4034545
Germany,DEU,1874,1.7304846
Germany,DEU,1875,2.4273689
Germany,DEU,1876,2.446672
Germany,DEU,1877,2.370372
Germany,DEU,1878,2.4199347
Germany,DEU,1879,2.538891
Germany,DEU,1880,2.8224943
Germany,DEU,1881,3.013424
Germany,DEU,1882,3.1931138
Germany,DEU,1883,3.3704581
Germany,DEU,1884,3.4352546
Germany,DEU,1885,3.481745
Germany,DEU,1886,3.4883993
Germany,DEU,1887,3.611334
Germany,DEU,1888,3.9121675
Germany,DEU,1889,4.1315155
Germany,DEU,1890,4.27808
Germany,DEU,1891,4.48249
Germany,DEU,1892,4.307531
Germany,DEU,1893,4.3616033
Germany,DEU,1894,4.473088
Germany,DEU,1895,4.580699
Germany,DEU,1896,4.858754
Germany,DEU,1897,5.115586
Germany,DEU,1898,5.2635717
Germany,DEU,1899,5.5158305
Germany,DEU,1900,5.8584833
Germany,DEU,1901,5.752767
Germany,DEU,1902,5.5575953
Germany,DEU,1903,5.893571
Germany,DEU,1904,6.0174766
Germany,DEU,1905,6.3640666
Germany,DEU,1906,5.935062
Germany,DEU,1907,7.143025
Germany,DEU,1908,7.10769
Germany,DEU,1909,7.010511
Germany,DEU,1910,6.9526906
Germany,DEU,1911,7.1282573
Germany,DEU,1912,7.752086
Germany,DEU,1913,8.3334255
Germany,DEU,1914,7.776015
Germany,DEU,1915,7.2489376
Germany,DEU,1916,7.8622327
Germany,DEU,1917,8.25984
Germany,DEU,1918,7.9522567
Germany,DEU,1919,6.1275907
Germany,DEU,1920,6.7833967
Germany,DEU,1921,7.458013
Germany,DEU,1922,7.145081
Germany,DEU,1923,5.1726303
Germany,DEU,1924,6.9938426
Germany,DEU,1925,7.0439167
Germany,DEU,1926,6.312412
Germany,DEU,1927,7.301617
Germany,DEU,1928,7.61232
Germany,DEU,1929,8.073647
Germany,DEU,1930,6.871657
Germany,DEU,1931,5.700178
Germany,DEU,1932,5.096256
Germany,DEU,1933,5.315258
Germany,DEU,1934,5.9089975
Germany,DEU,1935,6.495202
Germany,DEU,1936,7.124051
Germany,DEU,1937,7.9784474
Germany,DEU,1938,8.4533
Germany,DEU,1939,9.071787
Germany,DEU,1940,9.120772
Germany,DEU,1941,9.196745
Germany,DEU,1942,9.298256
Germany,DEU,1943,9.478794
Germany,DEU,1944,8.392185
Germany,DEU,1945,1.626086
Germany,DEU,1946,3.8143752
Germany,DEU,1947,4.4693284
Germany,DEU,1948,5.3269467
Germany,DEU,1949,6.0961905
Germany,DEU,1950,7.308731
Germany,DEU,1951,8.263315
Germany,DEU,1952,8.746724
Germany,DEU,1953,8.911835
Germany,DEU,1954,9.407278
Germany,DEU,1955,10.282786
Germany,DEU,1956,10.846896
Germany,DEU,1957,10.939459
Germany,DEU,1958,10.546377
Germany,DEU,1959,10.457713
Germany,DEU,1960,11.174068
Germany,DEU,1961,11.372996
Germany,DEU,1962,11.930789
Germany,DEU,1963,12.654174
Germany,DEU,1964,12.861333
Germany,DEU,1965,12.634993
Germany,DEU,1966,12.415375
Germany,DEU,1967,12.160628
Germany,DEU,1968,12.733648
Germany,DEU,1969,13.494337
Germany,DEU,1970,13.116823
Germany,DEU,1971,13.23719
Germany,DEU,1972,13.228626
Germany,DEU,1973,13.747555
Germany,DEU,1974,13.4500675
Germany,DEU,1975,12.735223
Germany,DEU,1976,13.919665
Germany,DEU,1977,13.461735
Germany,DEU,1978,13.813758
Germany,DEU,1979,14.302951
Germany,DEU,1980,14.044512
Germany,DEU,1981,13.363777
Germany,DEU,1982,12.953847
Germany,DEU,1983,12.929977
Germany,DEU,1984,13.24412
Germany,DEU,1985,13.406973
Germany,DEU,1986,13.439202
Germany,DEU,1987,13.223626
Germany,DEU,1988,13.123539
Germany,DEU,1989,12.765508
Germany,DEU,1990,13.233256
Germany,DEU,1991,12.663626
Germany,DEU,1992,11.978324
Germany,DEU,1993,11.773517
Germany,DEU,1994,11.534621
Germany,DEU,1995,11.459825
Germany,DEU,1996,11.666093
Germany,DEU,1997,11.306132
Germany,DEU,1998,11.26054
Germany,DEU,1999,10.9630375
Germany,DEU,2000,10.990293
Germany,DEU,2001,11.1706505
Germany,DEU,2002,10.952268
Germany,DEU,2003,10.893722
Germany,DEU,2004,10.677804
Germany,DEU,2005,10.57788
Germany,DEU,2006,10.849607
Germany,DEU,2007,10.407971
Germany,DEU,2008,10.561389
Germany,DEU,2009,9.760688
Germany,DEU,2010,10.22758
Germany,DEU,2011,9.95007
Germany,DEU,2012,10.060916
Germany,DEU,2013,10.263195
Germany,DEU,2014,9.739761
Germany,DEU,2015,9.756902
Germany,DEU,2016,9.642186
Germany,DEU,2017,9.441122
Germany,DEU,2018,9.101415
Germany,DEU,2019,8.480803
Germany,DEU,2020,7.738692
Germany,DEU,2021,8.100614
Germany,DEU,2022,7.942359
Germany,DEU,2023,7.022808
Germany,DEU,2024,6.7688236
Italy,ITA,1860,0.0011262266
Italy,ITA,1861,0.02559917
Italy,ITA,1862,0.046562288
Italy,ITA,1863,0.040323935
Italy,ITA,1864,0.060095884
Italy,ITA,1865,0.047303215
Italy,ITA,1866,0.05458293
Italy,ITA,1867,0.053961847
Italy,ITA,1868,0.06190334
Italy,ITA,1869,0.067893706
Italy,ITA,1870,0.09653522
Italy,ITA,1871,0.082708955
Italy,ITA,1872,0.105997294
Italy,ITA,1873,0.09814545
Italy,ITA,1874,0.10561151
Italy,ITA,1875,0.107471436
Italy,ITA,1876,0.14314722
Italy,ITA,1877,0.1318209
Italy,ITA,1878,0.13046588
Italy,ITA,1879,0.14930338
Italy,ITA,1880,0.17261681
Italy,ITA,1881,0.20166817
Italy,ITA,1882,0.21094054
Italy,ITA,1883,0.22198184
Italy,ITA,1884,0.24416532
Italy,ITA,1885,0.27593336
Italy,ITA,1886,0.27249047
Italy,ITA,1887,0.3298038
Italy,ITA,1888,0.35167447
Italy,ITA,1889,0.36085936
Italy,ITA,1890,0.3888937
Italy,ITA,1891,0.3482069
Italy,ITA,1892,0.34266305
Italy,ITA,1893,0.32921925
Italy,ITA,1894,0.4062961
Italy,ITA,1895,0.37176776
Italy,ITA,1896,0.3512562
Italy,ITA,1897,0.3643463
Italy,ITA,1898,0.37693927
Italy,ITA,1899,0.41044554
Italy,ITA,1900,0.41726837
Italy,ITA,1901,0.40272814
Italy,ITA,1902,0.4438756
Italy,ITA,1903,0.44913656
Italy,ITA,1904,0.47091293
Italy,ITA,1905,0.51494014
Italy,ITA,1906,0.60375595
Italy,ITA,1907,0.6477283
Italy,ITA,1908,0.6553477
Italy,ITA,1909,0.7191808
Italy,ITA,1910,0.7160845
Italy,ITA,1911,0.7351726
Italy,ITA,1912,0.7690465
Italy,ITA,1913,0.8257717
Italy,ITA,1914,0.7491461
Italy,ITA,1915,0.6527092
Italy,ITA,1916,0.6440776
Italy,ITA,1917,0.4407476
Italy,ITA,1918,0.51772255
Italy,ITA,1919,0.5058378
Italy,ITA,1920,0.48337826
Italy,ITA,1921,0.588292
Italy,ITA,1922,0.6858346
Italy,ITA,1923,0.70966345
Italy,ITA,1924,0.8440211
Italy,ITA,1925,0.8051899
Italy,ITA,1926,0.923836
Italy,ITA,1927,1.0319438
Italy,ITA,1928,0.96636665
Italy,ITA,1929,1.1057256
Italy,ITA,1930,0.9848254
Italy,ITA,1931,0.84374666
Italy,ITA,1932,0.68712944
Italy,ITA,1933,0.7399153
Italy,ITA,1934,0.95498157
Italy,ITA,1935,1.0835172
Italy,ITA,1936,0.757516
Italy,ITA,1937,1.0608381
Italy,ITA,1938,1.0474766
Italy,ITA,1939,1.0656236
Italy,ITA,1940,1.1245015
Italy,ITA,1941,0.9769447
Italy,ITA,1942,0.94786507
Italy,ITA,1943,0.15996632
Italy,ITA,1944,0.07998864
Italy,ITA,1945,0.09670476
Italy,ITA,1946,0.48959672
Italy,ITA,1947,0.80761707
Italy,ITA,1948,0.7752891
Italy,ITA,1949,0.8625921
Italy,ITA,1950,0.89306104
Italy,ITA,1951,1.0442877
Italy,ITA,1952,1.0766172
Italy,ITA,1953,1.1811262
Italy,ITA,1954,1.3577749
Italy,ITA,1955,1.5223778
Italy,ITA,1956,1.7246975
Italy,ITA,1957,1.7897031
Italy,ITA,1958,1.7904662
Italy,ITA,1959,1.9117564
Italy,ITA,1960,2.2057705
Italy,ITA,1961,2.4970908
Italy,ITA,1962,2.915451
Italy,ITA,1963,3.2543283
Italy,ITA,1964,3.4446247
Italy,ITA,1965,3.6818244
Italy,ITA,1966,4.121744
Italy,ITA,1967,4.473739
Italy,ITA,1968,4.727312
Italy,ITA,1969,5.082452
Italy,ITA,1970,5.551188
Italy,ITA,1971,5.791714
Italy,ITA,1972,6.0710115
Italy,ITA,1973,6.4894867
Italy,ITA,1974,6.535078
Italy,ITA,1975,6.182356
Italy,ITA,1976,6.5957985
Italy,ITA,1977,6.3613772
Italy,ITA,1978,6.637189
Italy,ITA,1979,6.863404
Italy,ITA,1980,6.850246
Italy,ITA,1981,6.6253977
Italy,ITA,1982,6.46841
Italy,ITA,1983,6.313786
Italy,ITA,1984,6.4179273
Italy,ITA,1985,6.489892
Italy,ITA,1986,6.3856063
Italy,ITA,1987,6.6810675
Italy,ITA,1988,6.7797422
Italy,ITA,1989,7.1036334
Italy,ITA,1990,7.68362
Italy,ITA,1991,7.6695366
Italy,ITA,1992,7.6662855
Italy,ITA,1993,7.526011
Italy,ITA,1994,7.392994
Italy,ITA,1995,7.8148036
Italy,ITA,1996,7.7471423
Italy,ITA,1997,7.8436203
Italy,ITA,1998,8.054232
Italy,ITA,1999,8.132449
Italy,ITA,2000,8.19941
Italy,ITA,2001,8.196022
Italy,ITA,2002,8.309492
Italy,ITA,2003,8.574582
Italy,ITA,2004,8.606314
Italy,ITA,2005,8.567466
Italy,ITA,2006,8.443186
Italy,ITA,2007,8.286317
Italy,ITA,2008,8.027509
Italy,ITA,2009,7.078524
Italy,ITA,2010,7.2413816
Italy,ITA,2011,7.0218983
Italy,ITA,2012,6.665015
Italy,ITA,2013,6.0912943
Italy,ITA,2014,5.7593956
Italy,ITA,2015,5.9635468
Italy,ITA,2016,5.9216995
Italy,ITA,2017,5.8397813
Italy,ITA,2018,5.790691
Italy,ITA,2019,5.6483817
Italy,ITA,2020,5.0506783
Italy,ITA,2021,5.6242104
Italy,ITA,2022,5.704794
Italy,ITA,2023,5.248631
Italy,ITA,2024,5.087886
Norway,NOR,1750,0
Norway,NOR,1760,0
Norway,NOR,1770,0
Norway,NOR,1780,0
Norway,NOR,1790,0
Norway,NOR,1800,0
Norway,NOR,1801,0
Norway,NOR,1802,0
Norway,NOR,1803,0
Norway,NOR,1804,0
Norway,NOR,1805,0
Norway,NOR,1806,0
Norway,NOR,1807,0
Norway,NOR,1808,0
Norway,NOR,1809,0
Norway,NOR,1810,0
Norway,NOR,1811,0
Norway,NOR,1812,0
Norway,NOR,1813,0
Norway,NOR,1814,0
Norway,NOR,1815,0
Norway,NOR,1816,0
Norway,NOR,1817,0
Norway,NOR,1818,0
Norway,NOR,1819,0
Norway,NOR,1820,0
Norway,NOR,1821,0
Norway,NOR,1822,0
Norway,NOR,1823,0
Norway,NOR,1824,0
Norway,NOR,1825,0
Norway,NOR,1826,0
Norway,NOR,1827,0
Norway,NOR,1828,0
Norway,NOR,1829,0.009932231
Norway,NOR,1830,0.0065375045
Norway,NOR,1831,0.0032304025
Norway,NOR,1832,0
Norway,NOR,1833,0
Norway,NOR,1834,0
Norway,NOR,1835,0.012408057
Norway,NOR,1836,0.0153572485
Norway,NOR,1837,0.021288287
Norway,NOR,1838,0.042157065
Norway,NOR,1839,0.032786433
Norway,NOR,1840,0.035391875
Norway,NOR,1841,0.046679433
Norway,NOR,1842,0.057700925
Norway,NOR,1843,0.048485868
Norway,NOR,1844,0.050751865
Norway,NOR,1845,0.075258635
Norway,NOR,1846,0.074399464
Norway,NOR,1847,0.07627414
Norway,NOR,1848,0.096947104
Norway,NOR,1849,0.07717001
Norway,NOR,1850,0.099875614
Norway,NOR,1851,0.10638039
Norway,NOR,1852,0.10497247
Norway,NOR,1853,0.11364036
Norway,NOR,1854,0.15941471
Norway,NOR,1855,0.17197877
Norway,NOR,1856,0.20113294
Norway,NOR,1857,0.19838622
Norway,NOR,1858,0.17210157
Norway,NOR,1859,0.2071832
Norway,NOR,1860,0.2093993
Norway,NOR,1861,0.26640996
Norway,NOR,1862,0.2278102
Norway,NOR,1863,0.22142568
Norway,NOR,1864,0.29053947
Norway,NOR,1865,0.2837035
Norway,NOR,1866,0.30967367
Norway,NOR,1867,0.3654634
Norway,NOR,1868,0.37097478
Norway,NOR,1869,0.32096925
Norway,NOR,1870,0.36228594
Norway,NOR,1871,0.34843832
Norway,NOR,1872,0.36982825
Norway,NOR,1873,0.3681372
Norway,NOR,1874,0.45147362
Norway,NOR,1875,0.5611456
Norway,NOR,1876,0.49000984
Norway,NOR,1877,0.6539466
Norway,NOR,1878,0.5773575
Norway,NOR,1879,0.6011349
Norway,NOR,1880,0.6519781
Norway,NOR,1881,0.67056686
Norway,NOR,1882,0.72940433
Norway,NOR,1883,0.78291
Norway,NOR,1884,0.7984825
Norway,NOR,1885,0.9091223
Norway,NOR,1886,0.88498867
Norway,NOR,1887,0.8499257
Norway,NOR,1888,0.97926545
Norway,NOR,1889,1.111468
Norway,NOR,1890,1.0327786
Norway,NOR,1891,1.1904045
Norway,NOR,1892,1.2039268
Norway,NOR,1893,1.1888568
Norway,NOR,1894,1.3874222
Norway,NOR,1895,1.4447643
Norway,NOR,1896,1.4596028
Norway,NOR,1897,1.5636258
Norway,NOR,1898,1.5463502
Norway,NOR,1899,1.830457
Norway,NOR,1900,1.8610289
Norway,NOR,1901,1.7297902
Norway,NOR,1902,1.8700955
Norway,NOR,1903,1.8559071
Norway,NOR,1904,1.8083662
Norway,NOR,1905,1.7914501
Norway,NOR,1906,1.8124046
Norway,NOR,1907,2.0375307
Norway,NOR,1908,2.4192793
Norway,NOR,1909,2.4213858
Norway,NOR,1910,2.4751422
Norway,NOR,1911,2.5110497
Norway,NOR,1912,2.8143475
Norway,NOR,1913,2.8024375
